,hexagon_id,connections_points,normalized_score
0,871eb0a14ffffff,,
1,871eb2211ffffff,,
2,871eb0693ffffff,,
3,871eb2398ffffff,,
4,871eb07b6ffffff,,
5,871eb3d2bffffff,,
6,871eb0013ffffff,,
7,871eb2334ffffff,,
8,871eb019affffff,,
9,871eb04a8ffffff,,
10,871eb2a73ffffff,,
11,871eb0444ffffff,,
12,871eb0752ffffff,,
13,871eb00d2ffffff,,
14,871eb06eeffffff,,
15,871eb226cffffff,,
16,871eb068affffff,,
17,871eb3d86ffffff,,
18,871eb2208ffffff,,
19,871eb006effffff,,
20,871eb2b32ffffff,1.0,0.0
21,871eb07adffffff,,
22,871eb0626ffffff,,
23,871eb2aceffffff,,
24,871eb3d22ffffff,,
25,871eb232bffffff,,
26,871eb000affffff,,
27,871eb2a6affffff,,
28,871eb0749ffffff,1.0,0.0
29,871eb39b0ffffff,,
30,871eb02b4ffffff,,
31,871eb06e5ffffff,,
32,871eb0570ffffff,,
33,871eb0b8cffffff,,
34,871eb2275ffffff,,
35,871eb2a18ffffff,1.0,0.0
36,871eb00dbffffff,,
37,871eb2a06ffffff,,
38,871eb00c9ffffff,,
39,871eb055effffff,,
40,871eb2b8dffffff,,
41,871eb2263ffffff,,
42,871eb0681ffffff,,
43,871eb2b29ffffff,,
44,871eb0065ffffff,,
45,871eb2386ffffff,,
46,871eb07a4ffffff,,
47,871eb2ac5ffffff,,
48,871eb061dffffff,,
49,871eb2322ffffff,,
50,871eb3d19ffffff,,
51,871eb0ab2ffffff,,
52,871eb0001ffffff,,
53,871eb2a61ffffff,,
54,871eb0740ffffff,,
55,871eb3cb5ffffff,,
56,871eb0432ffffff,,
57,871eb00c0ffffff,,
58,871eb06dcffffff,,
59,871eb0555ffffff,,
60,871eb225affffff,,
61,871eb2b84ffffff,,
62,871eb04f1ffffff,,
63,871eb2b20ffffff,,
64,871eb22d9ffffff,,
65,871eb075bffffff,,
66,871eb044dffffff,,
67,871eb3d74ffffff,,
68,871eb005cffffff,,
69,871eb079bffffff,,
70,871eb0614ffffff,,
71,871eb3d10ffffff,,
72,871eb048dffffff,,
73,871eb2319ffffff,,
74,871eb2a58ffffff,,
75,871eb0429ffffff,,
76,871eb3cacffffff,,
77,871eb06d3ffffff,,
78,871eb054cffffff,,
79,871eb2251ffffff,,
80,871eb286dffffff,,
81,871eb04e8ffffff,,
82,871eb2374ffffff,,
83,871eb0053ffffff,1.0,0.0
84,871eb0792ffffff,,
85,871eb060bffffff,,
86,871eb0aa0ffffff,,
87,871eb072effffff,,
88,871eb3ca3ffffff,,
89,871eb0420ffffff,,
90,871eb22acffffff,,
91,871eb2b72ffffff,,
92,871eb00aeffffff,,
93,871eb0543ffffff,,
94,871eb06caffffff,,
95,871eb236bffffff,,
96,871eb001cffffff,,
97,871eb2ae0ffffff,,
98,871eb3d34ffffff,,
99,871eb2b0effffff,,
100,871eb0666ffffff,,
101,871eb3d62ffffff,1.0,0.0
102,871eb004affffff,,
103,871eb0789ffffff,,
104,871eb0602ffffff,,
105,871eb2aaaffffff,,
106,871eb2a46ffffff,,
107,871eb0725ffffff,,
108,871eb3c9affffff,,
109,871eb22a3ffffff,,
110,871eb2b69ffffff,,
111,871eb06c1ffffff,,
112,871eb3c36ffffff,,
113,871eb03b3ffffff,1.0,0.0
114,871eb00a5ffffff,,
115,871eb2362ffffff,,
116,871eb04d6ffffff,,
117,871eb2b05ffffff,,
118,871eb0041ffffff,,
119,871eb35b6ffffff,,
120,871eb065dffffff,,
121,871eb0780ffffff,,
122,871eb0472ffffff,,
123,871eb2aa1ffffff,,
124,871eb071cffffff,,
125,871eb040effffff,,
126,871eb3c91ffffff,,
127,871eb2b60ffffff,,
128,871eb23a1ffffff,,
129,871eb221affffff,,
130,871eb0080ffffff,,
131,871eb3d98ffffff,,
132,871eb2b44ffffff,,
133,871eb069cffffff,,
134,871eb3db4ffffff,,
135,871eb009cffffff,,
136,871eb2236ffffff,,
137,871eb04cdffffff,,
138,871eb2359ffffff,,
139,871eb0654ffffff,,
140,871eb0469ffffff,,
141,871eb2a98ffffff,,
142,871eb22f5ffffff,,
143,871eb0a85ffffff,,
144,871eb0713ffffff,,
145,871eb0405ffffff,,
146,871eb2a34ffffff,,
147,871eb058cffffff,,
148,871eb0093ffffff,,
149,871eb222dffffff,,
150,871eb3dabffffff,,
151,871eb3c24ffffff,,
152,871eb2af3ffffff,,
153,871eb2350ffffff,,
154,871eb04c4ffffff,,
155,871eb35a4ffffff,,
156,871eb0460ffffff,,
157,871eb076effffff,,
158,871eb22ecffffff,,
159,871eb070affffff,,
160,871eb2ba8ffffff,,
161,871eb00e4ffffff,,
162,871eb2a21ffffff,,
163,871eb0700ffffff,,
164,871eb2a2bffffff,,
165,871eb00eeffffff,,
166,871eb0583ffffff,,
167,871eb06a6ffffff,,
168,871eb2b4effffff,,
169,871eb3da2ffffff,,
170,871eb008affffff,,
171,871eb2224ffffff,,
172,871eb23abffffff,,
173,871eb0398ffffff,,
174,871eb2aeaffffff,,
175,871eb0642ffffff,,
176,871eb0765ffffff,,
177,871eb22e3ffffff,,
178,871eb0149ffffff,,
179,871eb0701ffffff,,
180,871eb2a22ffffff,,
181,871eb00e5ffffff,,
182,871eb2ba9ffffff,,
183,871eb2b45ffffff,,
184,871eb069dffffff,,
185,871eb3d99ffffff,,
186,871eb0081ffffff,,
187,871eb221bffffff,,
188,871eb3c12ffffff,,
189,871eb23a2ffffff,,
190,871eb3d35ffffff,,
191,871eb2ae1ffffff,,
192,871eb2a85ffffff,,
193,871eb0148ffffff,,
194,871eb3536ffffff,,
195,871eb22e2ffffff,,
196,871eb0764ffffff,,
197,871eb0456ffffff,,
198,871eb001dffffff,,
199,871eb044effffff,,
200,871eb075cffffff,,
201,871eb22daffffff,,
202,871eb00dcffffff,,
203,871eb2a19ffffff,,
204,871eb2276ffffff,,
205,871eb0b8dffffff,,
206,871eb0571ffffff,,
207,871eb0694ffffff,,
208,871eb3d90ffffff,,
209,871eb2212ffffff,,
210,871eb0386ffffff,,
211,871eb050dffffff,,
212,871eb2399ffffff,,
213,871eb0630ffffff,,
214,871eb2ad8ffffff,,
215,871eb3d2cffffff,,
216,871eb2335ffffff,,
217,871eb04a9ffffff,,
218,871eb0014ffffff,,
219,871eb019bffffff,,
220,871eb0445ffffff,,
221,871eb2a74ffffff,,
222,871eb0753ffffff,,
223,871eb22d1ffffff,,
224,871eb0641ffffff,,
225,871eb2346ffffff,,
226,871eb2ae9ffffff,,
227,871eb00d3ffffff,,
228,871eb2a10ffffff,,
229,871eb226dffffff,1.0,0.0
230,871eb0568ffffff,,
231,871eb068bffffff,,
232,871eb2209ffffff,,
233,871eb2b33ffffff,,
234,871eb07aeffffff,,
