hexagon_id,latency_ms,normalized_score
871eb0a14ffffff,,
871eb2211ffffff,,
871eb0693ffffff,,
871eb2398ffffff,,
871eb07b6ffffff,,
871eb3d2bffffff,,
871eb0013ffffff,,
871eb2334ffffff,,
871eb019affffff,,
871eb04a8ffffff,35.0,0.65
871eb2a73ffffff,,
871eb0444ffffff,,
871eb0752ffffff,,
871eb00d2ffffff,,
871eb06eeffffff,,
871eb226cffffff,,
871eb068affffff,,
871eb3d86ffffff,,
871eb2208ffffff,,
871eb006effffff,,
871eb2b32ffffff,58.0,0.42
871eb07adffffff,,
871eb0626ffffff,,
871eb2aceffffff,,
871eb3d22ffffff,,
871eb232bffffff,,
871eb000affffff,,
871eb2a6affffff,,
871eb0749ffffff,49.5,0.505
871eb39b0ffffff,66.0,0.34
871eb02b4ffffff,,
871eb06e5ffffff,,
871eb0570ffffff,85.0,0.15
871eb0b8cffffff,,
871eb2275ffffff,59.0,0.41
871eb2a18ffffff,53.0,0.47
871eb00dbffffff,,
871eb2a06ffffff,29.0,0.71
871eb00c9ffffff,,
871eb055effffff,,
871eb2b8dffffff,50.5,0.495
871eb2263ffffff,,
871eb0681ffffff,,
871eb2b29ffffff,,
871eb0065ffffff,,
871eb2386ffffff,,
871eb07a4ffffff,,
871eb2ac5ffffff,52.0,0.48
871eb061dffffff,,
871eb2322ffffff,,
871eb3d19ffffff,,
871eb0ab2ffffff,,
871eb0001ffffff,,
871eb2a61ffffff,,
871eb0740ffffff,,
871eb3cb5ffffff,,
871eb0432ffffff,,
871eb00c0ffffff,19.0,0.81
871eb06dcffffff,,
871eb0555ffffff,37.0,0.63
871eb225affffff,44.0,0.56
871eb2b84ffffff,,
871eb04f1ffffff,,
871eb2b20ffffff,,
871eb22d9ffffff,,
871eb075bffffff,,
871eb044dffffff,,
871eb3d74ffffff,,
871eb005cffffff,38.333333333333336,0.6166666666666667
871eb079bffffff,,
871eb0614ffffff,,
871eb3d10ffffff,,
871eb048dffffff,,
871eb2319ffffff,,
871eb2a58ffffff,,
871eb0429ffffff,,
871eb3cacffffff,,
871eb06d3ffffff,,
871eb054cffffff,38.0,0.62
871eb2251ffffff,,
871eb286dffffff,,
871eb04e8ffffff,,
871eb2374ffffff,,
871eb0053ffffff,,
871eb0792ffffff,,
871eb060bffffff,,
871eb0aa0ffffff,,
871eb072effffff,,
871eb3ca3ffffff,,
871eb0420ffffff,,
871eb22acffffff,,
871eb2b72ffffff,,
871eb00aeffffff,,
871eb0543ffffff,58.5,0.415
871eb06caffffff,,
871eb236bffffff,,
871eb001cffffff,,
871eb2ae0ffffff,,
871eb3d34ffffff,,
871eb2b0effffff,,
871eb0666ffffff,,
871eb3d62ffffff,,
871eb004affffff,54.75,0.4525
871eb0789ffffff,,
871eb0602ffffff,,
871eb2aaaffffff,,
871eb2a46ffffff,,
871eb0725ffffff,,
871eb3c9affffff,,
871eb22a3ffffff,,
871eb2b69ffffff,,
871eb06c1ffffff,,
871eb3c36ffffff,,
871eb03b3ffffff,24.0,0.76
871eb00a5ffffff,,
871eb2362ffffff,,
871eb04d6ffffff,48.0,0.52
871eb2b05ffffff,49.0,0.51
871eb0041ffffff,,
871eb35b6ffffff,,
871eb065dffffff,,
871eb0780ffffff,,
871eb0472ffffff,,
871eb2aa1ffffff,56.0,0.44
871eb071cffffff,,
871eb040effffff,,
871eb3c91ffffff,,
871eb2b60ffffff,,
871eb23a1ffffff,,
871eb221affffff,,
871eb0080ffffff,,
871eb3d98ffffff,,
871eb2b44ffffff,,
871eb069cffffff,,
871eb3db4ffffff,,
871eb009cffffff,,
871eb2236ffffff,,
871eb04cdffffff,,
871eb2359ffffff,,
871eb0654ffffff,,
871eb0469ffffff,,
871eb2a98ffffff,,
871eb22f5ffffff,,
871eb0a85ffffff,,
871eb0713ffffff,,
871eb0405ffffff,,
871eb2a34ffffff,,
871eb058cffffff,,
871eb0093ffffff,,
871eb222dffffff,,
871eb3dabffffff,,
871eb3c24ffffff,18.0,0.82
871eb2af3ffffff,,
871eb2350ffffff,,
871eb04c4ffffff,,
871eb35a4ffffff,,
871eb0460ffffff,,
871eb076effffff,56.0,0.44
871eb22ecffffff,,
871eb070affffff,,
871eb2ba8ffffff,,
871eb00e4ffffff,,
871eb2a21ffffff,,
871eb0700ffffff,,
871eb2a2bffffff,,
871eb00eeffffff,,
871eb0583ffffff,,
871eb06a6ffffff,,
871eb2b4effffff,,
871eb3da2ffffff,,
871eb008affffff,,
871eb2224ffffff,,
871eb23abffffff,,
871eb0398ffffff,,
871eb2aeaffffff,,
871eb0642ffffff,,
871eb0765ffffff,,
871eb22e3ffffff,,
871eb0149ffffff,,
871eb0701ffffff,,
871eb2a22ffffff,,
871eb00e5ffffff,,
871eb2ba9ffffff,,
871eb2b45ffffff,,
871eb069dffffff,,
871eb3d99ffffff,,
871eb0081ffffff,,
871eb221bffffff,,
871eb3c12ffffff,,
871eb23a2ffffff,25.0,0.75
871eb3d35ffffff,,
871eb2ae1ffffff,,
871eb2a85ffffff,38.0,0.62
871eb0148ffffff,,
871eb3536ffffff,100.0,0.0
871eb22e2ffffff,,
871eb0764ffffff,,
871eb0456ffffff,,
871eb001dffffff,,
871eb044effffff,,
871eb075cffffff,,
